"","date","city_name","province_level_region","city_type","latitude","longitude","temperature_2m_mean_c","temperature_2m_min_c","temperature_2m_max_c","apparent_temperature_max_c","precipitation_sum_mm","rain_sum_mm","wind_speed_10m_max_kmh","shortwave_radiation_sum_mj_m2","pm2_5_mean_ug_m3","pm10_mean_ug_m3","nitrogen_dioxide_mean_ug_m3","ozone_mean_ug_m3","us_aqi_daily_max","european_aqi_daily_max"
"172","2023-06-21","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.8,22.5,31.1,35.5,0.1,0.1,12,24.39,129.517,187.371,126.317,25.25,198,138
"173","2023-06-22","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.3,22.1,31.4,34.1,0,0,8.7,13.92,310.571,444.492,171.925,9.292,387,290
"174","2023-06-23","Shanghai","Shanghai","Municipality",31.2304,121.4737,23.5,20.2,27.3,30.5,2.7,2.7,22,16.37,89.892,128.771,103.125,11.458,385,288
"175","2023-06-24","Shanghai","Shanghai","Municipality",31.2304,121.4737,22.6,20.1,25.2,28.5,116.6,116.6,25.3,3.57,41.225,59.779,58.212,35,175,112
"176","2023-06-25","Shanghai","Shanghai","Municipality",31.2304,121.4737,25.6,23.6,28.7,32.7,7.6,7.6,25,8.2,46.842,67.279,73.925,8.875,132,79
"177","2023-06-26","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.4,23.9,29.7,32.6,8.6,8.6,24.5,10.96,67.9,98.179,93.162,11.458,157,92
"178","2023-06-27","Shanghai","Shanghai","Municipality",31.2304,121.4737,26.9,23.6,30.6,34.6,5.6,5.6,19.5,15.82,87.188,126.254,78.762,21.167,174,112
"179","2023-06-28","Shanghai","Shanghai","Municipality",31.2304,121.4737,29.1,25.2,33.6,39.7,0.2,0.2,17.1,24.02,77.55,113.304,60.65,64.125,176,114
"180","2023-06-29","Shanghai","Shanghai","Municipality",31.2304,121.4737,30.1,27,34.9,40.1,1.4,1.4,20.3,20.2,76.612,110.837,81.629,55.208,166,102
"181","2023-06-30","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.1,24.7,28.7,33.8,20,20,17,6.39,64.833,92.854,97.896,4.583,171,108
"182","2023-07-01","Shanghai","Shanghai","Municipality",31.2304,121.4737,27.6,23.8,32.2,38,6.2,6.2,17.7,22.37,86.612,124.629,90.938,81.083,172,109
"183","2023-07-02","Shanghai","Shanghai","Municipality",31.2304,121.4737,28.7,25,33.5,40,8,8,11.6,16.16,83.908,120.954,99.754,39.583,179,117
