"","X","sale_id","pinx","sale_date","sale_price","sale_nbr","sale_warning","join_status","join_year","latitude","longitude","area","city","zoning","subdivision","present_use","land_val","imp_val","year_built","year_reno","sqft_lot","sqft","sqft_1","sqft_fbsmt","grade","fbsmt_grade","condition","stories","beds","bath_full","bath_3qtr","bath_half","garb_sqft","gara_sqft","wfnt","golf","greenbelt","noise_traffic","view_rainier","view_olympics","view_cascades","view_territorial","view_skyline","view_sound","view_lakewash","view_lakesamm","view_otherwater","view_other","submarket"
"20954",543512,"2022..32808","..8576020870",2022-11-01,625000,2,"   ","new",2022,47.3079928675365,-122.033737714853,57,"BLACK DIAMOND","MPD","TEN TRAILS PP1A DIVISION 2",29,183000,389000,2019,0,3649,2300,910,0,8,0,3,2,3,2,0,1,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M"
"20955",543513,"2022..32809","..8576100740",2022-11-01,794950,1,"   ","new",2022,47.3031891138432,-122.037380367532,57,"BLACK DIAMOND","MPD","TEN TRAILS PLAT 2A DIVISION 5",2,183000,459000,2022,0,4050,2660,1170,0,8,0,3,2,4,2,1,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M"
"20956",543514,"2022..32812","..2424059189",2022-11-03,2850000,2,"   ","new",2022,47.5460137438036,-122.101915891215,65,"BELLEVUE","R-1","",2,641000,1394000,2022,0,22888,4030,1930,0,9,0,3,2,4,2,2,1,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"R"
"20957",543515,"2022..32817","..3487900130",2022-10-26,1180000,2,"   ","new",2022,47.7383546347333,-121.971753513045,70,"DUVALL","R4","HOWER HILL",2,202000,979000,2017,0,6484,3470,1560,500,9,8,3,2,4,1,2,2,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"20958",543516,"2022..32832","..0625069164",2022-11-01,1650000,2,"   ","new",2022,47.6866016177169,-122.091613162063,71,"REDMOND","R4","",2,406000,1264000,2022,0,6160,2120,800,0,9,0,3,2,3,2,0,1,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"O"
"20959",543517,"2022..32841","..6652500020",2022-11-09,1145000,2,"   ","new",2022,47.2705386886133,-122.131932733526,28,"KING COUNTY","RA5","PARK VISTA NO. 01",2,190000,916000,2018,0,90604,3333,2833,0,9,0,3,1.5,4,2,1,1,0,890,0,0,0,0,0,0,2,2,0,0,0,0,0,0,"L"
"20960",543518,"2022..32845","..0522069114",2022-11-10,865000,2,"   ","new",2022,47.4254123104205,-122.068588772277,60,"KING COUNTY","RA5","",2,327000,540000,2005,0,214750,1980,1980,0,8,0,3,1,3,2,0,1,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"K"
"20961",543519,"2022..32846","..0850000498",2022-11-07,715000,1,"   ","new",2022,47.6630967899897,-122.351689742527,42,"SEATTLE","LR1 (M)","BLACKMARS SUPL OF WOODLAND ADD",29,318000,492000,2022,0,656,960,320,0,8,0,3,3,2,0,2,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"20962",543520,"2022..32848","..9478500430",2022-11-05,665000,3,"   ","new",2022,47.3675798257808,-122.114199200441,86,"COVINGTON","R6","WINGFIELD",2,269000,365000,2011,0,4105,2200,830,0,7,0,3,2,4,2,0,1,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"K"
"20963",543521,"2022..32852","..0098020290",2022-11-01,1650000,5,"   ","new",2022,47.5825803579517,-121.970247021672,69,"SAMMAMISH","R1","ALDARRA DIV NO 03",2,544000,1466000,2004,0,7457,3730,1880,0,10,0,3,2,4,2,0,1,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"O"
